   0	   1
   2	   2
 512	 512
 513	 513
 514	 514
   1	   1
   2	   3
 513	 513
 514	 514
 515	 515
   2	   3
   4	   4
 514	 514
 515	 515
 516	 516
   3	   3
   4	   5
 515	 515
 516	 516
 517	 517
   4	   5
   6	   6
 516	 516
 517	 517
 518	 518
   5	   5
   6	   7
 517	 517
 518	 518
 519	 519
   6	   7
   8	   8
 518	 518
 519	 519
 520	 520
   7	   7
   8	   9
 519	 519
 520	 520
 521	 521
   8	   9
  10	  10
 520	 520
 521	 521
 522	 522
   9	   9
  10	  11
 521	 521
 522	 522
 523	 523
  10	  11
  12	  12
 522	 522
 523	 523
 524	 524
  11	  11
  12	  13
 523	 523
 524	 524
 525	 525
  12	  13
  14	  14
 524	 524
 525	 525
 526	 526
  13	  13
  14	  15
 525	 525
 526	 526
 527	 527
  14	  15
  16	  16
 526	 526
 527	 527
 528	 528
  15	  15
  16	  17
 527	 527
 528	 528
 529	 529
  16	  17
  18	  18
 528	 528
 529	 529
 530	 530
  17	  17
  18	  19
 529	 529
 530	 530
 531	 531
  18	  19
  20	  20
 530	 530
 531	 531
 532	 532
  19	  19
  20	  21
 531	 531
 532	 532
 533	 533
   0	   1
   2	   2
 512	 512
 513	 513
 514	 514
   1	   1
   2	   3
 513	 513
 514	 514
 515	 515
   2	   3
   4	   4
 514	 514
 515	 515
 516	 516
   3	   3
   4	   5
 515	 515
 516	 516
 517	 517
   4	   5
   6	   6
 516	 516
 517	 517
 518	 518
   5	   5
   6	   7
 517	 517
 518	 518
 519	 519
   6	   7
   8	   8
 518	 518
 519	 519
 520	 520
   7	   7
   8	   9
 519	 519
 520	 520
 521	 521
   8	   9
  10	  10
 520	 520
 521	 521
 522	 522
   9	   9
  10	  11
 521	 521
 522	 522
 523	 523
  10	  11
  12	  12
 522	 522
 523	 523
 524	 524
  11	  11
  12	  13
 523	 523
 524	 524
 525	 525
  12	  13
  14	  14
 524	 524
 525	 525
 526	 526
  13	  13
  14	  15
 525	 525
 526	 526
 527	 527
  14	  15
  16	  16
 526	 526
 527	 527
 528	 528
  15	  15
  16	  17
 527	 527
 528	 528
 529	 529
  16	  17
  18	  18
 528	 528
 529	 529
 530	 530
  17	  17
  18	  19
 529	 529
 530	 530
 531	 531
  18	  19
  20	  20
 530	 530
 531	 531
 532	 532
  19	  19
  20	  21
 531	 531
 532	 532
 533	 533
   0	   1
   2	   2
 512	 512
 513	 513
 514	 514
   1	   1
   2	   3
 513	 513
 514	 514
 515	 515
   2	   3
   4	   4
 514	 514
 515	 515
 516	 516
   3	   3
   4	   5
 515	 515
 516	 516
 517	 517
   4	   5
   6	   6
 516	 516
 517	 517
 518	 518
   5	   5
   6	   7
 517	 517
 518	 518
 519	 519
   6	   7
   8	   8
 518	 518
 519	 519
 520	 520
   7	   7
   8	   9
 519	 519
 520	 520
 521	 521
   8	   9
  10	  10
 520	 520
 521	 521
 522	 522
   9	   9
  10	  11
 521	 521
 522	 522
 523	 523
  10	  11
  12	  12
 522	 522
 523	 523
 524	 524
  11	  11
  12	  13
 523	 523
 524	 524
 525	 525
  12	  13
  14	  14
 524	 524
 525	 525
 526	 526
  13	  13
  14	  15
 525	 525
 526	 526
 527	 527
  14	  15
  16	  16
 526	 526
 527	 527
 528	 528
  15	  15
  16	  17
 527	 527
 528	 528
 529	 529
  16	  17
  18	  18
 528	 528
 529	 529
 530	 530
  17	  17
  18	  19
 529	 529
 530	 530
 531	 531
  18	  19
  20	  20
 530	 530
 531	 531
 532	 532
  19	  19
  20	  21
 531	 531
 532	 532
 533	 533
   0	   1
   2	   2
 512	 512
 513	 513
 514	 514
   1	   1
   2	   3
 513	 513
 514	 514
 515	 515
   2	   3
   4	   4
 514	 514
 515	 515
 516	 516
   3	   3
   4	   5
 515	 515
 516	 516
 517	 517
   4	   5
   6	   6
 516	 516
 517	 517
 518	 518
   5	   5
   6	   7
 517	 517
 518	 518
 519	 519
   6	   7
   8	   8
 518	 518
 519	 519
 520	 520
   7	   7
   8	   9
 519	 519
 520	 520
 521	 521
   8	   9
  10	  10
 520	 520
 521	 521
 522	 522
   9	   9
  10	  11
 521	 521
 522	 522
 523	 523
  10	  11
  12	  12
 522	 522
 523	 523
 524	 524
  11	  11
  12	  13
 523	 523
 524	 524
 525	 525
  12	  13
  14	  14
 524	 524
 525	 525
 526	 526
  13	  13
  14	  15
 525	 525
 526	 526
 527	 527
  14	  15
  16	  16
 526	 526
 527	 527
 528	 528
  15	  15
  16	  17
 527	 527
 528	 528
 529	 529
  16	  17
  18	  18
 528	 528
 529	 529
 530	 530
  17	  17
  18	  19
 529	 529
 530	 530
 531	 531
  18	  19
  20	  20
 530	 530
 531	 531
 532	 532
  19	  19
  20	  21
 531	 531
 532	 532
 533	 533
   0	   1
   2	   2
 512	 512
 513	 513
 514	 514
   1	   1
   2	   3
 513	 513
 514	 514
 515	 515
   2	   3
   4	   4
 514	 514
 515	 515
 516	 516
   3	   3
   4	   5
 515	 515
 516	 516
 517	 517
   4	   5
   6	   6
 516	 516
 517	 517
 518	 518
   5	   5
   6	   7
 517	 517
 518	 518
 519	 519
   6	   7
   8	   8
 518	 518
 519	 519
 520	 520
   7	   7
   8	   9
 519	 519
 520	 520
 521	 521
   8	   9
  10	  10
 520	 520
 521	 521
 522	 522
   9	   9
